순번,본부,협약연도,주유소명,대표자,구분,주소(전체),전화번호,상표,품질 적합 여부
1,대경,2025,구미햇살주유소,신보미,갱신,경북 구미시 문장로146 (도량동) ,054-451-0909,석유공사,적합
2,충북,2025,오창(통영방향)주유소,"심광보, 심형욱",갱신,충북 청주시 청원구 중부고속도로19 (오창읍) ,043-217-1443,도로공사,적합
3,광전,2025,(주)풀무원푸드앤컬처 함평천지(시흥방향)주유소,이동훈,갱신,전남 함평군 서해안고속도로38-1 (손불면) ,061-322-4409,도로공사,적합
4,대경,2025,다산농협주유소,박광보,갱신,경북 고령군 다산로705 (다산면) ,054-954-6080,농협,적합
5,충북,2025,보령물산 황간(상)주유소,최만규,갱신,충북 영동군 회포1길65 (황간면) ,043-742-1266,도로공사,적합
6,전북,2025,(주)풀무원푸드앤컬처 덕유산(상)휴게소,이동훈,갱신,전북 무주군 통영대전고속도로148 (안성면) ,063-353-4206,도로공사,적합
7,부울경,2025,경민주유소,조아나,갱신,경남 밀양시 밀양대로1900 (내이동) ,055-353-1339,석유공사,적합
8,수북,2025,전곡농협주유소,최종철,갱신,경기 연천군 평화로557 (전곡읍) ,031-832-0051,농협,적합
9,대세충,2025,천안농협원성동클린주유소,윤노순,갱신,충남 천안시 동남구 중앙로13 (원성동) ,041-568-1073,농협,적합
10,충북,2025,(주)인앤아웃 충주(창원)주유소,엄정욱,갱신,충북 충주시 중부내륙고속도로231-1 (중앙탑면) ,043-857-7371,도로공사,적합
11,부울경,2025,스카이알뜰셀프주유소,김훈,갱신,울산 중구 성안로157 (성안동) ,052-246-5301,석유공사,적합
12,충북,2025,(주)바이오시스 금왕(제천)주유소,심광보 외 1명,갱신,충북 음성군 평택제천고속도로70 (금왕읍) ,043-881-8122,도로공사,적합
13,충북,2025,(주)바이오시스 금왕(평택)주유소,심광보 외 1명,갱신,충북 음성군 평택제천고속도로69 (금왕읍) ,043-882-8030,도로공사,적합
14,대경,2025,다사농협클린주유소,이상태,갱신,대구 달성군 서재로83 (다사읍) ,053-581-7799,농협,적합
15,강원,2025,서창산업(주) 옥계(속초방향)주유소,최윤묵 외 2명,갱신,강원 강릉시 동해고속도로322 (옥계면) ,033-534-2100,도로공사,적합
16,수남,2025,장호원농협주유소,송영환,갱신,경기 이천시 경충대로162 (장호원읍) ,031-643-0056,농협,적합
17,충북,2025,보령물산 황간(하)주유소,최만규,갱신,충북 영동군 회포길102 (황간면) ,043-742-5853,도로공사,적합
18,대경,2025,중화농협주유소,노연구,갱신,경북 상주시 화령로80 (화서면) ,054-533-0250,농협,적합
