상호,시도,시군구,소재지,전산보고여부
(유)고덕물류 직영주유소,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 건산로201 (인후동1가) ,Y
(유)광영우리 알뜰주유소,전라남도,광양시,전라남도 광양시 광영로108 (광영동) ,Y
(유)구도일군산주유소,전북특별자치도,군산시,전북특별자치도 군산시 외항로83 (산북동) ,Y
(유)그린주유소,충청북도,청주시,충청북도 청주시 서원구 서부로1409 (개신동) ,Y
(유)남악아이씨개발 주유소,전라남도,무안군,전라남도 무안군 남악5로72번길81-55 (삼향읍) ,Y
(유)대성에너지,충청남도,보령시,충청남도 보령시 대천로254 (죽정동) ,Y
(유)디에스(DS) 셀프주유소,전북특별자치도,군산시,전북특별자치도 군산시 외항로259 (산북동) ,Y
(유)만남주유소,전라남도,해남군,전라남도 해남군 공룡대로3888 (옥천면) ,Y
(유)모우리주유소,광주광역시,광산구,광주광역시 광산구 소촌로68 (소촌동) ,Y
(유)신도시주유소,전라남도,나주시,전라남도 나주시 빛가람장성로2045 (금천면) ,Y
(유)에스에이치선원주유소,전라남도,여수시,전라남도 여수시 무선로113 (선원동) ,Y
(유)에스케이정웅,전라남도,광양시,전라남도 광양시 담안길58 (태인동) ,Y
(유)우리주유소,광주광역시,광산구,광주광역시 광산구 목련로225 (운남동) ,Y
(유)우진에너지,충청남도,보령시,충청남도 보령시 대해로294 (남곡동) ,Y
(유)익산주유소,전북특별자치도,익산시,전북특별자치도 익산시 익산대로1723 (함열읍) ,Y
(유)지석강주유소,전라남도,화순군,전라남도 화순군 화보로2555 (춘양면) ,Y
(유)착한주유소,광주광역시,북구,광주광역시 북구 동문대로452 (장등동) ,Y
(유)천진주유소,광주광역시,광산구,광주광역시 광산구 연산로239 (연산동) ,Y
(유)케이에스 동안주유소,충청북도,옥천군,충청북도 옥천군 매동로108 (옥천읍) ,Y
(유)팔복주유소,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 기린대로714 (팔복동1가) ,Y
(유)하은에너지 우문가스충전주유소,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 동부대로1273 (송천동2가) ,Y
(주) 프라임에너지 하남셀프주유소,경기도,하남시,경기도 하남시 신장로211 (덕풍동) ,Y
(주)CJH Energy 뉴신일주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로1889 (홍제동) ,Y
(주)GS이앤알 동일주유소,강원특별자치도,인제군,강원특별자치도 인제군 설악로2775 (북면) ,Y
(주)HC에너지 본리주유소,대구광역시,달서구,대구광역시 달서구 와룡로76 (본리동) ,Y
(주)HC에너지 연경2주유소,대구광역시,동구, 대구광역시 동구 동화천로 391 (지묘동),Y
(주)HC에너지 죽전주유소,대구광역시,달서구,대구광역시 달서구 와룡로150 (감삼동) ,Y
(주)SJY Energy 홍길동주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로161 (교동) ,Y
(주)가재울뉴타운주유소,서울특별시,서대문구,서울특별시 서대문구 모래내로205 (남가좌동) ,Y
(주)가호주유소,경상남도,진주시,경상남도 진주시 가호로64 (호탄동) ,Y
(주)강인산업개발,강원특별자치도,원주시,강원특별자치도 원주시 강변로685 (학성동) ,Y
(주)개봉오일,서울특별시,구로구,서울특별시 구로구 고척로115 (개봉동) ,Y
(주)갤럭시EnS,강원특별자치도,춘천시,강원특별자치도 춘천시 세실로20 (동내면) ,Y
(주)거산오일,충청남도,당진시,충청남도 당진시 덕평로1414 (신평면) ,Y
(주)경기에너지 뉴타운주유소,경기도,안성시,경기도 안성시 안성맞춤대로862 (계동) ,Y
(주)경선이엔지,경기도,양주시,경기도 양주시 호국로777 (장흥면) ,Y
(주)경인석유 고속도로 동명(부산)주유소,경상북도,칠곡군, 경상북도 칠곡군 동명면 가천리 60,Y
(주)경인석유 고속도로 동명(춘천)주유소,경상북도,칠곡군, 경상북도 칠곡군 동명면 가천리 85-2,Y
(주)경인석유 고속도로 외동(상)주유소,경상북도,경주시,경상북도 경주시 상석길58-70 (외동읍) ,Y
(주)경인석유 고속도로 외동(하)주유소,경상북도,경주시,경상북도 경주시 상석길58-74 (외동읍) ,Y
(주)경인석유 고속도로 진영(상)주유소,경상남도,김해시,경상남도 김해시 하계로96번길44-49 (진영읍) ,Y
(주)경인석유고속도로 건천(상)주유소,경상북도,경주시,경상북도 경주시 경부고속도로76-1 (건천읍) ,Y
(주)경훈에너지주유소,광주광역시,북구,광주광역시 북구 서하로237 (오치동) ,Y
(주)고신통상 여주주유소,경기도,여주시,경기도 여주시 여주남로722 (가남읍) ,Y
(주)광동유통 단양팔경(춘천)주유소,충청북도,단양군,충청북도 단양군 하방3길100 (단성면) ,Y
(주)광동티엘에스,경기도,화성시,경기도 화성시 삼존로59 (송산면) ,Y
(주)광명주유소,충청남도,천안시,충청남도 천안시 동남구 충절로451 (삼룡동) ,Y
(주)광역주유소,경기도,부천시,경기도 부천시 신흥로434 (내동) ,Y
(주)교현알뜰주유소,경기도,양주시,경기도 양주시 북한산로863 (장흥면) ,Y
(주)구도일 북진천지점,충청북도,진천군,충청북도 진천군 생거진천로2475 (광혜원면) ,Y
(주)구룡에너지,충청북도,청주시,충청북도 청주시 청원구 오창대로149 (오창읍) ,Y
(주)구암상사주유소,대전광역시,유성구,대전광역시 유성구 유성대로654번길32 (구암동) ,Y
(주)굿에너지,충청북도,청주시,충청북도 청주시 청원구 두릉유리로18 (오창읍) ,Y
(주)굿오일,충청북도,진천군,충청북도 진천군 생거진천로280-1 (문백면) ,Y
(주)굿이에프에너지 제일셀프주유소,충청북도,제천시,충청북도 제천시 내토로722 (교동) ,Y
(주)그레이스에너지,경기도,파주시,경기도 파주시 율곡로1466 (적성면) ,Y
(주)기지에너지,서울특별시,중랑구, 서울특별시 중랑구 용마산로712 (신내동),Y
(주)기흥산업(기흥에너지self주유소),경기도,용인시,경기도 용인시 기흥구 용구대로1624 (공세동) ,Y
(주)김포제2주유소,경기도,김포시,경기도 김포시 대곶북로347 (대곶면) ,Y
(주)나너울주유소,강원특별자치도,평창군,강원특별자치도 평창군 평창중앙로89 (평창읍) ,Y
(주)나이스디앤에스 금강(부산방향)주유소,충청북도,옥천군,충청북도 옥천군 금강로596 (동이면) ,Y
(주)나이스디앤에스 봉담주유소,경기도,화성시,경기도 화성시 동화역말길63 (봉담읍) ,Y
(주)나이스디앤에스 장안공원주유소,경기도,수원시,경기도 수원시 장안구 팔달로227 (영화동) ,Y
(주)나이스디앤에스경산(서울방향)주유소,경상북도,경산시,경상북도 경산시 대학로1089 (진량읍) ,Y
